Region,med_institutions_amount
Abai Region,0.4916509474933176
Akmola Region,0.4061063160953893
Aktobe Region,0.4524960002585691
Almaty Region,0.2921677786749394
Atyrau Region,0.4617338104582708
West Kazakhstan Region,0.4359888444987654
Jambyl Region,0.4269451662828265
Jetisu Region,0.5152610298064193
Karaganda Region,0.5375619187611753
Kostanay Region,0.5167586016271887
Kyzylorda Region,0.395906091075197
Mangystau Region,0.4563495167910545
Pavlodar Region,0.5033759304175504
North Kazakhstan Region,0.4494180036852276
Turkistan Region,0.221796142917884
Ulytau Region,0.4968495223469364
East Kazakhstan Region,0.4245575015201898
Astana city,0.2362608763063565
Almaty city,0.3562019618863901
Shymkent city,0.7383312204195567
