Region,number_of_cars
Abai Region,11.647210946116695
Akmola Region,213.71091068072303
Aktobe Region,143.11047905320598
Almaty Region,320.87525498278865
Atyrau Region,141.73352187463928
West Kazakhstan Region,1.6175186130904198
Jambyl Region,167.26808461724775
Jetisu Region,14.275593086914515
Karaganda Region,247.98524436595451
Kostanay Region,197.55080458112508
Kyzylorda Region,126.68754971320804
Mangystau Region,166.67448980124024
Pavlodar Region,198.8295184944291
North Kazakhstan Region,23.13004658966638
Turkistan Region,82.57611972838939
Ulytau Region,15.786264369114027
East Kazakhstan Region,390.862700843089
Astana city,212.2936870355536
Almaty city,223.91734264084437
Shymkent city,115.40116975157672
