Region,Total_city_population
Abai Region,610189.0
Akmola Region,787971.0
Aktobe Region,928185.0
Almaty Region,1505984.0
Atyrau Region,693040.0
West Kazakhstan Region,688091.0
Jambyl Region,1217955.0
Jetisu Region,698675.0
Karaganda Region,1134753.0
Kostanay Region,832110.0
Kyzylorda Region,833531.0
Mangystau Region,766956.0
Pavlodar Region,754903.0
North Kazakhstan Region,534024.0
Turkistan Region,2119063.0
Ulytau Region,221395.0
East Kazakhstan Region,730172.0
Astana city,1354435.0
Almaty city,2161695.0
Shymkent city,1191877.0
