Region,Total_Score
Almaty city, 6.214030504706091
Astana city, 5.3709696724736355
Atyrau Region, 4.507141723574316
Almaty Region, 4.270913240771131
Turkistan Region, 4.229574085137049
Shymkent city, 4.224179720095529
Karaganda Region, 3.7821797637917958
Jambyl Region, 3.7454659057994455
Aktobe Region, 3.7094762034348525
Akmola Region, 3.60601018451552
West Kazakhstan Region, 3.5864125066079002
Kostanay Region, 3.5540586337115165
Mangystau Region, 3.1244734763158553
Kyzylorda Region, 2.8359712589943147
North Kazakhstan Region, 2.6163695315960376
East Kazakhstan Region, 2.606344004942382
Pavlodar Region, 2.3982562151395634
Abai Region, 2.284868452486122
Jetisu Region, 1.9256369086230238
Ulytau Region, 1.834120832230797
